1,LblDeclinedPayment,Pago Rechazado
1,LblItem,Artículo
1,LblProductInformation,Información del Producto
1,LblFeatures,Caracteristicas
1,LblEmptyCartMessage,¿Seguro que quieres eliminar todos los artículos en el carrito?
1,LblRemoveItemMessage,¿Seguro que quieres eliminar este producto?
1,LblLogoutMessage,¿Seguro que quieres desconectarte?
1,LblLogout,Cerrar Sesión
1,LblDeclinedPaymentMessage,El Pago fue Rechazado
1,LblYes,Sí
1,LblNo,No
1,Lblalert,Alerta
1,Lblok,De Acuerdo
1,Lblcancel,Cancelar
1,LblSelectColor,Seleccionar el Color
1,LblselectSize,Seleccionar el Tamaño
1,LblChequeNumber,Número de Cheque
1,LblBankName,Nombre del Banco
1,LblAddYourSignature,Agregar Firma
1,LblenterQuantityHere,Ingrese la cantidad aquí
1,LblAddToCart,Añadir al carrito
1,LblShippedOnInv,Embarcado
1,LblPDFNotAvailable,PDF no disponible para este artículo
1,LblInvoiceDetails,Detalles de la factura
1,LblEnteredAmtCantBeLesser,La cantidad ingresada no puede ser menor o mayor
1,LblValidName,"Por favor, ingrese un nombre válido."
1,LblPORequired,PO Requerido
1,LblItemDoesNotExist,Este artículo no existe
1,LblDataNotAvailable,"Los datos no se han sincronizado con el servidor. Por favor, sincronice los datos."
1,LblEnteredAmtCantBeMoreThan,La cantidad ingresada no puede ser mayor que
1,LblEnteredAmtCantBeLessThan,La cantidad ingresada no puede ser menor que
1,LblLast,Último
1,LblMonth,Mes
1,LblAddSignature,"Por favor, agregue una firma."
1,LblSelectOnePaymentMethod,Seleccione una factura para continuar
1,LblPaymentMadeSuccesfully,Pago realizado con éxito
1,LblOrderNumber,Número de Orden
1,LblName,Nombre
1,LblNoInvoices,No hay facturas
1,LblOnline,Tarjeta
1,LblCongratulations,¡Felicitaciones!
1,LblPONumber,Número Postal
1,LblChckin,Registrarse
1,LblChckout,Revisión
1,LblTotalAmtLess,La cantidad total es menor que 
1,LblRemainingAmt,Cantidad restante agregada a la factura
1,LblViewPDF,Ver información del producto en formato PDF
1,LblSupervisorDetail,Detalles del Supervisor
1,LblServerDown,Servidor no Accesible
1,LblSelectAll,Seleccionar todas las facturas no pagadas
1,LblSelectedInvoice,Facturas Seleccionadas
1,LblRoute,Seleccione Ruta
1,LblSelected,Seleccionado
1,LblNoCustomerFound,No se encontraron clientes para este representante de ventas 
1,LblAtCompany,En la compañía
1,LblSyncing,Sincronizando
1,LblOf,De
1,LblQuestion,Quieres
1,LblSync,Sincronizar
1,LblAllData,Toda la información
1,LblPleaseSelect,"Por favor, seleccione al menos una acción."
1,LblSyncedSuccessfully,Se ha sincronizado correctamente
1,LblCart,Carro
1,LblAll,Seleccionar Todo
1,LblCardNumber,Número de Tarjeta
1,LblExpirydate,Fecha de Caducidad 
1,LblCardcode,Código de Seguridad
1,LblApply,Aplicar
1,LblRemoveData,Eliminar los datos del dispositivo
1,LblSendOrderEmail,Enviar informacion de pedido y factura por correo electrónico
1,LblTotalInv,Total de Pago
1,LblTotalInvoice,Factura Total
1,LblPackSize,Paquete
1,LblQtyMore,No puede pedir una cantidad superior a la cantidad disponible
1,LblSalesRepReport,Reporte de Ventas
1,200_pay_amt_lessEqual_zero,La cantidad del pago no puede ser menor o igual a cero
1,200_No_Open_Order_Found,No se encontraron pedidos abiertos
1,200_no_data_found,No se han encontrado resultados
1,200_not_enough_qty_cart1,No hay cantidad suficiente disponible para esta orden
1,200_not_enough_qty_cart2,La cantidad disponible es
1,200_not_enough_qty_cart3,Número alternativo. ¿Desea sobreordenar?
1,200_select_atleast_one_invoice,Seleccione una factura para continuar
1,200_no_top_selling_prod,No se encontró ningún producto de mayor venta
1,200_qty_updated_successfuly,Cantidad actualizada con éxito
1,200_user_blank,Proporcione el nombre de usuario.
1,200_qty_update_error,No se puede actualizar la cantidad.
1,200_pswd_blank,Introduzca la contraseña.
1,200_user_pswd_blank,El nombre de usuario y la contraseña no pueden estar en blanco.
1,403_invalid_token,Acceso no autorizado. La sesión no es válida.
1,200_session_expired,La sesión ha expirado. Inicia sesión nuevamente.
1,200_invalid_lang,El idioma no es compatible.
1,200_invalid_cmpny,Empresa no encontrada.
1,200_invalid_customer,Cliente no encontrado.
1,200_invalid_filter,Proporcione criterios de filtro válidos.
1,200_invalid_order,Orden no encontrada.
1,200_longLat_blank,Proporcione latitud y longitud.
1,200_cust_blank,Proporcione número de cliente.
1,200_order_blank,Proporcione número de pedido.
1,200_deviceid_blank,Proporcione el identificador de dispositivo del usuario.
1,200_token_renew,La sesión ha expirado. Se ha creado una nueva sesión.
1,200_invalid_usertype,Tipo de usuario no válido.
1,200_mob_multilogin,"No se permiten multiples inicios de sesión. Cierra la sesión en el dispositivo anterior."
1,403_mismatch_usertype_token,Acceso no autorizado. La sesión no es válida.
1,403_mismatch_deviceid_token,Acceso no autorizado. La sesión no es válida.
1,403_mismatch_user_token,Acceso no autorizado. La sesión no es válida.
1,403_mismatch_lang_token,Acceso no autorizado. La sesión no es válida.
1,200_lang_blank,Proporcione ID de idioma.
1,200_cmpny_blank,Proporcione ID de empresa.
1,200_invalid_user,Nombre de usuario no válido.
1,200_invalid_paswd,Contraseña Invalida.
1,200_order_placed_online,¡Gracias por su orden! El número de pedido es:
1,200_order_number,El número de pedido es:
1,200_enter_card_no,"Por favor, ingrese el número de tarjeta. Si no desea realizar el pago en línea, ingrese el monto 0 en el monto bajo un método de pago en línea"
1,200_enter_month,"Por favor, ingrese el mes."
1,200_enter_year,"Por favor, ingrese el año."
1,200_enter_cardcode,"Por favor, introduzca el código de la tarjeta."
1,200_order_placed_offline,Su pedido ha sido colocado con éxito. Se sincronizará una vez que se conecte.
1,200_invalid_user_paswd,Usuario o contraseña invalido.
1,200_usertype_blank,Proporcione el tipo de usuario.
